mode,profile,run,first_victory_min,first_hatch_min,second_biome_min,level_d1,level_d3,level_d7,level_d14,gold,dust,eggs,dragons,upgrades,win_rate,first5_win_rate,avg_battle_turns,empty_flight,stranded_runs,blocked,both_zero_days,tutorial_complete
before,cautious,0,2.2,6.4,12,2,4,7,13,11961,950,22,25,7,0.6538461538461539,0.6,7.0576923076923075,0.34,1,0,0,1
before,cautious,1,17.2,6.4,12,2,4,6,11,10780,995,23,23,9,0.56,0.4,7,0.34,4,0,0,0
before,cautious,2,2.2,6.4,12,3,5,8,13,12501,995,19,24,8,0.6274509803921569,0.6,7.098039215686274,0.34,2,0,0,1
before,cautious,3,2.2,6.4,12,2,4,7,12,11989,980,17,23,7,0.58,0.8,7.38,0.34,1,0,0,1
before,cautious,4,5.4,6.4,12,2,4,8,12,11662,980,16,23,7,0.6,0.2,7.46,0.34,3,0,0,0
before,cautious,5,2.2,6.4,12,2,4,8,13,11462,935,10,25,9,0.7115384615384616,0.6,7.019230769230769,0.34,1,0,0,1
before,cautious,6,2.2,6.4,12,2,5,8,13,11733,995,23,25,9,0.6923076923076923,0.8,7.153846153846154,0.34,0,0,0,1
before,cautious,7,11.8,6.4,12,2,3,7,13,12627,980,20,26,6,0.6792452830188679,0.4,7.264150943396227,0.34,1,0,0,0
before,cautious,8,2.2,6.4,12,3,4,7,12,11051,950,24,21,8,0.625,0.6,7.166666666666667,0.34,2,0,0,1
before,cautious,9,2.2,6.4,12,2,3,7,12,11356,965,14,26,6,0.5471698113207547,0.2,7.132075471698113,0.34,2,0,0,1
before,cautious,10,2.2,6.4,12,2,3,6,11,10655,950,16,20,10,0.5531914893617021,0.4,7.23404255319149,0.34,0,0,0,1
before,cautious,11,2.2,6.4,12,2,4,7,12,11576,965,9,26,10,0.5849056603773585,0.4,6.962264150943396,0.34,1,0,0,1
before,cautious,12,2.2,6.4,12,2,3,6,11,11107,995,17,24,10,0.5294117647058824,0.2,7.176470588235294,0.34,2,0,0,1
before,cautious,13,2.2,6.4,12,3,4,6,11,11045,935,12,25,8,0.5,0.4,7.1923076923076925,0.34,2,0,0,1
before,cautious,14,2.2,6.4,12,3,4,8,13,12119,980,27,25,7,0.6923076923076923,0.8,6.961538461538462,0.34,5,0,0,1
before,cautious,15,2.2,6.4,12,2,4,7,11,10679,980,17,26,9,0.5283018867924528,0.6,7.169811320754717,0.34,2,0,0,1
before,cautious,16,2.2,6.4,12,3,4,7,12,12168,950,22,23,7,0.66,0.8,7.02,0.34,0,0,0,1
before,cautious,17,2.2,6.4,12,3,5,7,11,11581,965,12,23,7,0.54,0.8,7.26,0.34,2,0,0,1
before,cautious,18,5.4,6.4,12,2,4,7,12,10939,935,14,25,8,0.5961538461538461,0.6,7.269230769230769,0.34,3,0,0,0
before,cautious,19,2.2,6.4,12,3,4,6,11,10670,950,14,25,7,0.5,0.8,7.384615384615385,0.34,1,0,0,1
before,cautious,20,2.2,6.4,12,2,4,7,11,10472,950,16,24,9,0.5686274509803921,0.6,7.411764705882353,0.34,3,0,0,1
before,cautious,21,5.4,6.4,12,2,4,8,13,11164,950,11,25,10,0.6923076923076923,0.8,6.9423076923076925,0.34,0,0,0,0
before,cautious,22,2.2,6.4,12,3,5,8,12,11759,995,17,24,6,0.5686274509803921,0.8,7.313725490196078,0.34,0,0,0,1
before,cautious,23,2.2,6.4,12,3,5,8,13,13349,995,20,23,4,0.68,0.8,6.96,0.34,4,0,0,1
before,cautious,24,8.600000000000001,6.4,12,2,4,7,11,11723,1010,21,21,7,0.5416666666666666,0.6,7.208333333333333,0.34,0,0,0,0
before,cautious,25,2.2,6.4,12,2,4,8,13,11735,980,19,24,8,0.6666666666666666,0.8,7.078431372549019,0.34,1,0,0,1
before,cautious,26,2.2,6.4,12,2,5,6,11,11357,935,13,23,7,0.56,1,7.22,0.34,2,0,0,1
before,cautious,27,2.2,6.4,12,2,5,8,12,10744,920,17,22,8,0.5918367346938775,0.6,6.938775510204081,0.34,2,0,0,1
before,cautious,28,2.2,6.4,12,2,4,7,13,12273,935,6,25,8,0.6923076923076923,0.6,6.788461538461538,0.34,1,0,0,1
before,cautious,29,2.2,6.4,12,2,4,8,12,11898,965,23,23,5,0.66,1,7.24,0.34,1,0,0,1
before,cautious,30,2.2,6.4,12,3,4,8,13,12032,950,12,27,9,0.5925925925925926,0.8,7.092592592592593,0.34,1,0,0,1
before,cautious,31,2.2,6.4,12,2,4,7,12,11786,980,22,25,7,0.6153846153846154,0.4,7.076923076923077,0.34,0,0,0,1
before,cautious,32,2.2,6.4,12,2,4,6,11,12001,995,22,23,6,0.6,0.8,7.2,0.34,3,0,0,1
before,cautious,33,2.2,6.4,12,3,5,8,12,12117,950,12,26,7,0.5660377358490566,0.8,7.320754716981132,0.34,3,0,0,1
before,cautious,34,2.2,6.4,12,2,5,8,13,12900,980,17,23,7,0.68,0.6,6.86,0.34,1,0,0,1
before,cautious,35,5.4,6.4,12,2,3,6,11,11935,935,15,24,4,0.5686274509803921,0.4,7.176470588235294,0.34,0,1,0,0
before,cautious,36,2.2,6.4,12,2,4,6,10,10463,980,18,22,7,0.46938775510204084,0.4,7.530612244897959,0.34,2,0,0,1
before,cautious,37,2.2,6.4,12,2,4,7,11,10961,965,19,21,7,0.5833333333333334,0.4,7.166666666666667,0.34,3,0,0,1
before,cautious,38,11.8,6.4,12,2,4,6,11,10318,935,12,25,9,0.5192307692307693,0.2,7.076923076923077,0.34,2,1,0,0
before,cautious,39,2.2,6.4,12,3,5,7,13,12008,965,15,25,10,0.6538461538461539,0.8,7.076923076923077,0.34,0,0,0,1
before,cautious,40,2.2,6.4,12,3,4,7,12,10809,995,21,25,12,0.6153846153846154,1,6.846153846153846,0.34,1,0,0,1
before,cautious,41,11.8,6.4,12,2,5,8,13,12238,980,19,24,9,0.6274509803921569,0.4,6.7254901960784315,0.34,4,0,0,0
before,cautious,42,2.2,6.4,12,2,5,7,12,12144,1025,23,23,5,0.6,0.6,7.22,0.34,2,0,0,1
before,cautious,43,2.2,6.4,12,3,4,8,13,12985,950,18,24,6,0.7647058823529411,1,6.764705882352941,0.34,1,0,0,1
before,cautious,44,2.2,6.4,12,3,5,8,12,12549,995,18,25,7,0.5961538461538461,0.8,7.134615384615385,0.34,1,0,0,1
before,cautious,45,2.2,6.4,12,3,5,8,13,12268,980,11,27,10,0.6296296296296297,1,7.018518518518518,0.34,2,0,0,1
before,cautious,46,2.2,6.4,12,2,3,6,11,12349,1010,20,22,4,0.5714285714285714,0.4,6.857142857142857,0.34,4,0,0,1
before,cautious,47,2.2,6.4,12,2,5,8,14,12739,965,17,24,8,0.803921568627451,0.8,6.784313725490196,0.34,2,0,0,1
before,cautious,48,2.2,6.4,12,2,4,7,11,10507,935,10,24,6,0.47058823529411764,0.4,7.333333333333333,0.34,2,0,0,1
before,cautious,49,2.2,6.4,12,2,4,7,12,11540,1010,17,24,7,0.6078431372549019,0.8,7.137254901960785,0.34,0,0,0,1
before,cautious,50,2.2,6.4,12,2,4,7,12,11167,965,10,24,7,0.5882352941176471,0.6,7.03921568627451,0.34,1,0,0,1
